"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D"," +EI TIC Scan 001-CoTXSS1.D "
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"31" ,6.180,6.209,6.224,190809.22,187133.73,1.78,3.48,0.15,0.044,0.013,253155.07,254985.99,6.151,6.176,6.226,6.234,253155.07,254985.99,0.46,445200.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"32" ,6.317,6.358,6.409,2240199.80,2575702.10,24.52,40.80,2.08,0.092,0.016,265866.00,253598.47,6.276,6.301,6.416,6.433,250370.34,253598.47,1.01,2492027.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"33" ,6.474,6.499,6.563,216975.65,593488.82,5.65,3.95,0.48,0.089,0.052,261057.00,259024.44,6.416,6.433,6.566,6.574,255905.23,259024.44,2.88,473755.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"34" ,6.577,6.624,6.681,3237290.43,4332751.71,41.25,58.96,3.50,0.104,0.018,259594.08,350804.00,6.566,6.574,6.723,6.731,259594.08,262796.32,0.96,3498304.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"35" ,6.723,6.756,6.793,1064197.44,1193138.83,11.36,19.38,0.96,0.070,0.018,287967.00,266218.49,6.723,6.731,6.814,6.831,264070.07,266218.49,0.77,1329286.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"36" ,6.883,6.897,6.930,134699.84,160039.74,1.52,2.45,0.13,0.047,0.021,271030.65,273058.00,6.872,6.880,6.955,6.980,271030.65,272875.75,2.08,406283.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"37" ,6.986,7.029,7.054,1113756.56,1346698.51,12.82,20.28,1.09,0.068,0.018,266961.28,288420.00,6.955,6.980,7.046,7.062,266961.28,267303.66,0.71,1380936.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"38" ,7.054,7.079,7.134,1777884.12,2754348.93,26.22,32.38,2.22,0.080,0.019,288420.00,267704.23,7.046,7.062,7.129,7.137,267303.66,267704.23,3.13,2045312.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"39" ,7.138,7.170,7.218,952643.74,1729339.54,16.46,17.35,1.40,0.081,0.030,267721.34,268124.13,7.129,7.137,7.269,7.294,267721.34,268124.13,0.87,1220527.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"40" ,7.295,7.319,7.419,566080.34,1057902.09,10.07,10.31,0.85,0.124,0.020,201012.47,224633.00,7.269,7.294,7.410,7.419,201012.47,198324.49,3.88,766559.00,,,  ,317.3,,,,,,,,,,,
