"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D"," +EI TIC Scan 00-Blank-3.d "
"No integration results available"
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D"," +EI TIC Scan 00-Blank-3.d "
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"10" ,3.959,3.982,4.038,2711672.65,3383213.33,28.87,51.34,2.81,0.079,0.017,298231.96,295799.13,3.907,3.948,4.048,4.048,298231.96,295799.13,2.81,3009206.00,,,  ,68.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"11" ,4.057,4.073,4.114,521980.06,694268.62,5.92,9.88,0.58,0.057,0.025,295208.73,293443.12,4.048,4.048,4.131,4.147,295208.73,293443.12,2.45,816705.00,,,  ,71.2,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"12" ,4.156,4.172,4.190,730133.83,601211.46,5.13,13.82,0.50,0.034,0.015,292145.71,291097.34,4.131,4.147,4.197,4.213,292145.71,291097.34,1.02,1021795.00,,,  ,82.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"13" ,4.214,4.230,4.263,1015440.32,991364.65,8.46,19.22,0.82,0.049,0.016,290357.76,288852.87,4.197,4.213,4.296,4.313,290357.76,288852.87,1.99,1305314.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"14" ,4.338,4.363,4.379,170227.29,194340.48,1.66,3.22,0.16,0.041,0.018,239069.00,273161.00,4.296,4.313,4.387,4.396,239069.00,273161.00,0.94,429746.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"15" ,4.480,4.487,4.528,149070.83,150968.95,1.29,2.82,0.13,0.048,0.030,282168.58,281443.00,4.462,4.479,4.520,4.528,282168.58,280682.90,5.30,431030.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"16" ,4.528,4.545,4.566,409378.82,361132.26,3.08,7.75,0.30,0.038,0.014,281443.00,279503.89,4.520,4.528,4.570,4.603,280682.90,279503.89,1.18,689551.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"17" ,4.639,4.669,4.693,1751103.60,1718619.67,14.66,33.15,1.43,0.055,0.016,273946.97,271703.25,4.628,4.636,4.727,4.735,273946.97,271703.25,1.21,2023812.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"18" ,4.747,4.777,4.826,208128.22,506020.94,4.32,3.94,0.42,0.080,0.038,282408.00,290097.00,4.727,4.735,4.818,4.826,282408.00,282181.68,1.62,490451.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"19" ,4.859,4.884,4.917,3940039.95,4785044.61,40.83,74.59,3.97,0.058,0.018,430194.00,524573.00,4.818,4.826,4.909,4.917,282087.58,281922.95,1.14,4222057.00,,,  ,117.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"20" ,4.917,4.951,4.998,806490.15,1387749.42,11.84,15.27,1.15,0.081,0.028,524573.00,281693.82,4.909,4.917,5.017,5.083,281922.95,281693.82,0.33,1088319.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"21" ,5.092,5.108,5.151,2120023.18,1814272.17,15.48,40.14,1.51,0.059,0.014,288822.20,291122.08,5.017,5.083,5.174,5.182,288822.20,291122.08,1.13,2409478.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"22" ,5.184,5.199,5.249,99641.02,141196.88,1.20,1.89,0.12,0.064,0.036,216405.36,209463.00,5.174,5.182,5.240,5.257,216405.36,209463.00,2.59,314460.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"23" ,5.257,5.282,5.323,269901.13,593989.30,5.07,5.11,0.49,0.066,0.043,215465.00,272214.00,5.240,5.257,5.332,5.348,215465.00,272214.00,2.47,506647.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"24" ,5.444,5.456,5.493,471944.49,594597.31,5.07,8.93,0.49,0.049,0.020,294036.13,295718.59,5.398,5.406,5.489,5.514,294036.13,295718.59,3.68,766378.00,,,  ,143.1,,,,,,,,,,,
